Fecha,Loteria,1er,2do,3er
2026-02-14,Nacional,24,25,3
2026-02-14,Leidsa,38,28,30
2026-02-14,Real,50,27,71
2026-02-14,Loteka,36,77,90
2026-02-14,New York,42,89,11
2026-02-14,Florida,20,95,27
2026-02-14,La Primera,44,65,39
2026-02-14,La Suerte,10,19,77
2026-02-13,Nacional,76,31,70
2026-02-13,Leidsa,94,18,74
2026-02-13,Real,38,42,46
2026-02-13,Loteka,9,87,13
2026-02-13,New York,11,14,4
2026-02-13,Florida,82,82,80
2026-02-13,La Primera,33,64,29
2026-02-13,La Suerte,71,3,31
2026-02-12,Nacional,5,56,0
2026-02-12,Leidsa,7,88,94
2026-02-12,Real,79,56,16
2026-02-12,Loteka,77,50,71
2026-02-12,New York,65,26,4
2026-02-12,Florida,52,99,50
2026-02-12,La Primera,93,98,84
2026-02-12,La Suerte,25,10,79
2026-02-11,Nacional,22,58,17
2026-02-11,Leidsa,34,60,66
2026-02-11,Real,35,4,53
2026-02-11,Loteka,6,17,48
2026-02-11,New York,32,20,97
2026-02-11,Florida,19,20,80
2026-02-11,La Primera,88,19,13
2026-02-11,La Suerte,91,78,85
2026-02-10,Nacional,3,79,84
2026-02-10,Leidsa,29,49,69
2026-02-10,Real,38,12,35
2026-02-10,Loteka,69,12,43
2026-02-10,New York,53,12,72
2026-02-10,Florida,37,60,7
2026-02-10,La Primera,57,72,47
2026-02-10,La Suerte,8,14,22
2026-02-09,Nacional,18,17,48
2026-02-09,Leidsa,86,60,38
2026-02-09,Real,17,27,82
2026-02-09,Loteka,8,64,2
2026-02-09,New York,87,58,94
2026-02-09,Florida,42,39,7
2026-02-09,La Primera,33,68,89
2026-02-09,La Suerte,66,22,85
2026-02-08,Nacional,1,78,38
2026-02-08,Leidsa,99,40,79
2026-02-08,Real,32,58,23
2026-02-08,Loteka,27,30,59
2026-02-08,New York,42,76,86
2026-02-08,Florida,47,14,80
2026-02-08,La Primera,85,92,37
2026-02-08,La Suerte,75,83,18
2026-02-07,Nacional,95,88,80
2026-02-07,Leidsa,51,30,64
2026-02-07,Real,84,48,6
2026-02-07,Loteka,43,38,41
2026-02-07,New York,70,37,60
2026-02-07,Florida,25,7,82
2026-02-07,La Primera,73,54,58
2026-02-07,La Suerte,48,86,86
2026-02-06,Nacional,78,57,72
2026-02-06,Leidsa,49,29,56
2026-02-06,Real,58,25,51
2026-02-06,Loteka,60,1,69
2026-02-06,New York,70,94,56
2026-02-06,Florida,68,39,45
2026-02-06,La Primera,7,77,47
2026-02-06,La Suerte,9,87,14
2026-02-05,Nacional,23,11,43
2026-02-05,Leidsa,1,56,24
2026-02-05,Real,55,26,79
2026-02-05,Loteka,32,42,91
2026-02-05,New York,5,78,37
2026-02-05,Florida,36,80,72
2026-02-05,La Primera,85,54,16
2026-02-05,La Suerte,76,78,94
2026-02-04,Nacional,77,56,21
2026-02-04,Leidsa,43,58,40
2026-02-04,Real,5,26,95
2026-02-04,Loteka,32,93,95
2026-02-04,New York,35,64,82
2026-02-04,Florida,18,20,43
2026-02-04,La Primera,18,55,90
2026-02-04,La Suerte,96,21,82
2026-02-03,Nacional,91,99,94
2026-02-03,Leidsa,42,0,68
2026-02-03,Real,30,53,0
2026-02-03,Loteka,87,55,43
2026-02-03,New York,62,76,99
2026-02-03,Florida,19,61,86
2026-02-03,La Primera,35,68,13
2026-02-03,La Suerte,57,21,30
2026-02-02,Nacional,48,89,7
2026-02-02,Leidsa,85,49,96
2026-02-02,Real,12,6,60
2026-02-02,Loteka,27,24,36
2026-02-02,New York,45,70,71
2026-02-02,Florida,10,14,88
2026-02-02,La Primera,53,93,20
2026-02-02,La Suerte,22,8,94
2026-02-01,Nacional,62,98,42
2026-02-01,Leidsa,1,21,40
2026-02-01,Real,22,0,35
2026-02-01,Loteka,69,29,65
2026-02-01,New York,11,67,61
2026-02-01,Florida,55,7,59
2026-02-01,La Primera,79,72,68
2026-02-01,La Suerte,37,63,75
2026-01-31,Nacional,42,43,75
2026-01-31,Leidsa,98,23,11
2026-01-31,Real,89,47,36
2026-01-31,Loteka,71,76,25
2026-01-31,New York,10,67,25
2026-01-31,Florida,54,47,82
2026-01-31,La Primera,35,60,78
2026-01-31,La Suerte,56,98,30
2026-01-30,Nacional,82,25,48
2026-01-30,Leidsa,79,92,3
2026-01-30,Real,63,58,18
2026-01-30,Loteka,45,29,50
2026-01-30,New York,71,94,2
2026-01-30,Florida,42,58,3
2026-01-30,La Primera,52,0,87
2026-01-30,La Suerte,86,14,68
2026-01-29,Nacional,93,13,5
2026-01-29,Leidsa,85,86,69
2026-01-29,Real,1,89,59
2026-01-29,Loteka,99,60,19
2026-01-29,New York,36,78,38
2026-01-29,Florida,31,3,99
2026-01-29,La Primera,6,20,18
2026-01-29,La Suerte,60,47,13
2026-01-28,Nacional,30,24,8
2026-01-28,Leidsa,25,39,35
2026-01-28,Real,78,21,88
2026-01-28,Loteka,33,50,5
2026-01-28,New York,80,97,22
2026-01-28,Florida,67,97,91
2026-01-28,La Primera,33,52,74
2026-01-28,La Suerte,25,14,56
2026-01-27,Nacional,80,78,38
2026-01-27,Leidsa,2,41,88
2026-01-27,Real,24,74,90
2026-01-27,Loteka,55,53,68
2026-01-27,New York,41,81,99
2026-01-27,Florida,24,35,96
2026-01-27,La Primera,13,44,34
2026-01-27,La Suerte,35,27,35
2026-01-26,Nacional,63,10,38
2026-01-26,Leidsa,4,36,68
2026-01-26,Real,84,93,11
2026-01-26,Loteka,44,55,38
2026-01-26,New York,21,69,84
2026-01-26,Florida,96,1,43
2026-01-26,La Primera,9,94,43
2026-01-26,La Suerte,0,70,55
2026-01-25,Nacional,47,95,32
2026-01-25,Leidsa,15,29,52
2026-01-25,Real,14,15,96
2026-01-25,Loteka,91,13,16
2026-01-25,New York,34,39,2
2026-01-25,Florida,17,19,95
2026-01-25,La Primera,65,10,5
2026-01-25,La Suerte,80,70,48
2026-01-24,Nacional,84,47,33
2026-01-24,Leidsa,63,53,24
2026-01-24,Real,58,97,65
2026-01-24,Loteka,37,16,65
2026-01-24,New York,81,89,29
2026-01-24,Florida,38,60,33
2026-01-24,La Primera,87,42,49
2026-01-24,La Suerte,9,91,68
2026-01-23,Nacional,61,16,4
2026-01-23,Leidsa,27,42,84
2026-01-23,Real,60,64,35
2026-01-23,Loteka,97,16,54
2026-01-23,New York,4,23,99
2026-01-23,Florida,38,12,63
2026-01-23,La Primera,15,83,90
2026-01-23,La Suerte,67,2,18
